id,num_edge,num_patents,edge_density,unq_assignees,unq_inventors,unq_loc,avg_claims,avg_sim
5925843,21975,10124,2.1705847491110233,1383,11438,765,21.632245301681504,0.25070961184151425
5534708,1994,1047,1.9044890162368673,338,1643,292,18.029665071770335,0.2332159280724433
5780932,45,41,1.0975609756097562,21,83,23,16.121951219512194,0.22308966914812725
4823192,1005,982,1.0234215885947047,153,1376,127,18.297435897435896,0.2011100263256042
5142979,221,149,1.483221476510067,53,243,52,15.483221476510067,0.27994510404158773
5794376,8,8,1.0,6,8,7,18.0,0.28325180336833
6212500,6668,2137,3.120262049602246,345,3250,244,21.05854800936768,0.19978686551481303
5227301,1714,1131,1.515473032714412,271,1273,228,19.97340425531915,0.25350372682358707
4518682,248,215,1.1534883720930234,26,381,34,15.116279069767442,0.4136667691261297
4443791,11471,6752,1.698904028436019,1901,9611,1254,20.31927531927532,0.22687644646526584
5529095,4,4,1.0,4,15,4,14.0,0.18318302929401398
4149743,12,8,1.5,4,13,4,14.25,0.3582276925444603
4566230,69,44,1.5681818181818181,23,77,24,16.477272727272727,0.27434849865950534
4627936,5075,2342,2.1669513236549958,524,3409,420,19.875053487376977,0.3304507799831958
5622612,538,299,1.7993311036789297,85,438,79,23.70469798657718,0.24022579313598602
4864097,1031,428,2.4088785046728973,103,474,95,24.28103044496487,0.28406955566705283
5688167,55,54,1.0185185185185186,10,64,12,19.166666666666668,0.2801575355909087
6012377,20,17,1.1764705882352942,11,35,13,14.176470588235293,0.23053790628910065
4661443,763,589,1.295415959252971,171,750,126,19.199658703071673,0.22584881793907788
6263684,7,7,1.0,6,11,6,22.285714285714285,0.17220773920416832
4224097,43,41,1.048780487804878,28,75,20,16.463414634146343,0.22960380308849868
4242022,485,460,1.0543478260869565,115,370,105,17.232608695652175,0.2602373271988532
6112423,1412,897,1.5741360089186176,276,1219,248,18.770089285714285,0.2495225541753012
4846965,85,77,1.103896103896104,56,138,54,17.103896103896105,0.2953165648614659
4523944,2,2,1.0,1,1,1,8.5,0.624843418598175
5918756,203,147,1.380952380952381,92,246,83,17.918367346938776,0.2009548198505135
4701435,154,76,2.026315789473684,26,121,22,21.342105263157894,0.41964406984580027
4165097,884,551,1.6043557168784028,179,655,197,16.98181818181818,0.2520103129006214
6144209,255,160,1.59375,79,304,76,18.67295597484277,0.2318763547266523
5717481,89,65,1.3692307692307693,33,92,34,23.415384615384614,0.23747108156761426
4373882,225,145,1.5517241379310345,48,206,53,16.32638888888889,0.24074381763736408
5876112,34,26,1.3076923076923077,11,45,12,17.615384615384617,0.24117667052675695
4274849,3320,1310,2.5343511450381677,384,1790,312,20.91858678955453,0.3100327639153272
5057427,2648,1170,2.263247863247863,328,1466,268,17.846746575342465,0.29535539162076524
4636227,529,359,1.4735376044568245,180,627,150,19.5041782729805,0.2591884418448789
4227650,5851,3240,1.8058641975308642,815,3619,663,19.05785891089109,0.2349928900348941
5417597,1341,1048,1.2795801526717556,264,1328,249,17.45889101338432,0.23081897313260014
4421525,2492,1563,1.5943698016634678,429,2306,344,21.05121638924456,0.288847933040878
4881715,2,2,1.0,2,8,2,19.0,0.25599080324172974
4994868,1239,1177,1.05267629566695,201,1223,148,21.16496598639456,0.200847864238195
4839581,503,412,1.220873786407767,156,685,143,19.189320388349515,0.21947524428115806
4827978,98,77,1.2727272727272727,26,94,23,17.93421052631579,0.2576385016876216
5704513,17,17,1.0,17,51,15,15.588235294117647,0.23508484661579132
5808974,567,502,1.1294820717131475,82,488,65,24.782868525896415,0.23011106230003178
5482645,158,133,1.1879699248120301,73,282,66,18.015037593984964,0.2586499284805518
5703441,716,508,1.4094488188976377,92,476,80,29.106299212598426,0.2863398879017244
4434444,841,673,1.24962852897474,178,997,160,13.159940209267564,0.26968349075425463
5387783,60821,23866,2.5484371071817646,3261,27632,1453,21.6211923868745,0.21800755481428175
5918117,614,364,1.6868131868131868,92,447,66,16.961432506887054,0.3079747016183692
4484356,3215,2556,1.2578247261345852,585,2885,430,23.550177095631643,0.23430287793415466
4548795,21,13,1.6153846153846154,4,26,5,20.153846153846153,0.38119285447256906
5532633,8005,4740,1.6888185654008439,549,5498,384,20.495661375661374,0.24324136690609763
4800813,285,250,1.14,61,291,58,14.792,0.19981571630689135
6064690,1281,1031,1.2424830261881668,234,1334,180,23.1126213592233,0.19820791602085266
5909181,42,38,1.105263157894737,25,63,24,18.105263157894736,0.23782146393897988
6093090,110,57,1.9298245614035088,19,104,24,17.68421052631579,0.23482643582604149
4380745,4454,3184,1.3988693467336684,684,4510,466,21.06041535556954,0.22476957597436076
5011892,1709,921,1.8555917480998914,211,1386,188,19.757608695652173,0.2793380635735487
5102502,18,17,1.0588235294117647,4,26,3,24.176470588235293,0.283303944600953
6299401,2,2,1.0,2,2,2,9.5,0.3198729157447815
4638334,2276,1335,1.7048689138576778,345,2099,265,20.13233082706767,0.2587555138879539
5911209,1126,662,1.700906344410876,153,867,153,15.248861911987861,0.3184864539917737
5554097,516,322,1.6024844720496894,144,507,122,18.555900621118013,0.2707751970268901
5026750,53,52,1.0192307692307692,30,107,20,24.096153846153847,0.28240916969360047
6226811,44,25,1.76,15,47,16,16.32,0.25690690224820917
4702906,2716,1417,1.916725476358504,260,1985,207,21.09456598447424,0.3571898088837111
4262023,90,65,1.3846153846153846,46,121,42,16.046153846153846,0.28752056020829414
5762443,615,293,2.098976109215017,160,460,142,17.869415807560138,0.2826371904735158
4577010,27,24,1.125,13,57,12,17.041666666666668,0.2940756653745969
5687236,242493,80227,3.0225859124733567,8519,86555,2811,21.338503649635037,0.22044755925518422
5970843,1427,905,1.5767955801104971,320,1500,279,18.207964601769913,0.2731284237483733
5532437,218,186,1.1720430107526882,81,330,72,19.365591397849464,0.23202314803701476
5261582,218,184,1.184782608695652,97,295,94,16.38586956521739,0.22989143217580582
6029956,5,5,1.0,5,16,6,15.0,0.2571770638227463
4905236,451,372,1.2123655913978495,111,526,99,19.441734417344172,0.20565417111167755
5286340,3418,438,7.80365296803653,74,742,66,17.04794520547945,0.21810443904861207
5819810,19,18,1.0555555555555556,6,22,6,16.444444444444443,0.36910291408237655
5757286,7469,4024,1.8561133200795228,878,5719,573,20.10950361686206,0.2198530655088971
5012259,552,424,1.3018867924528301,119,568,100,19.221698113207548,0.2667664911874664
5646902,4232,1466,2.8867667121418825,213,1784,161,19.279753761969904,0.24949664830777613
5510083,58,50,1.16,31,92,25,19.18,0.2500629278606382
4268148,43,42,1.0238095238095237,20,74,16,14.119047619047619,0.2364618353718935
6113692,15,13,1.1538461538461537,7,19,7,16.307692307692307,0.2558537145455678
5975369,927,601,1.5424292845257903,331,987,280,16.873333333333335,0.24955719140556187
5749416,151,106,1.4245283018867925,48,145,41,26.19811320754717,0.24866849381402628
6215517,17601,1227,14.34474327628362,174,1327,148,17.381847914963206,0.30875282988276886
5199001,6239,3815,1.635386631716907,347,3167,266,19.79963186957665,0.23475203327882388
5664200,286,277,1.032490974729242,99,552,82,18.56678700361011,0.22983569860575603
5152227,797,549,1.4517304189435336,195,738,178,21.098360655737704,0.22932905713365023
4463281,103,84,1.2261904761904763,36,159,31,16.75,0.28702457791682584
5460691,421,381,1.10498687664042,108,763,84,21.233595800524935,0.23613457199000265
4260134,11,11,1.0,9,32,8,18.90909090909091,0.23539984683421525
4300281,710,446,1.5919282511210762,160,744,151,16.687640449438202,0.24307373565110102
5975287,318,122,2.6065573770491803,33,137,34,24.39344262295082,0.32752155584031306
4336810,66018,16396,4.026469870700171,2095,13536,1198,22.103528404574085,0.2453434695675743
