num_roots,num_fine_roots,num_patents,total_citation,avg_citation
4,5,35,420,12.0
2,2,4,36,9.0
2,6,32,591,18.46875
1,1,2,57,28.5
2,2,13,76,5.846153846153846
5,13,205,1046,5.102439024390244
6,17,183,2713,14.825136612021858
3,6,28,641,22.892857142857142
3,4,11,145,13.181818181818182
2,2,4,15,3.75
1,1,4,45,11.25
2,3,5,20,4.0
4,5,35,669,19.114285714285714
2,3,20,293,14.65
5,7,42,914,21.761904761904763
2,3,11,472,42.90909090909091
5,13,27,357,13.222222222222221
4,6,37,468,12.64864864864865
4,9,49,10710,218.57142857142858
2,5,13,92,7.076923076923077
2,3,10,94,9.4
4,4,7,32,4.571428571428571
1,3,12,79,6.583333333333333
1,1,2,32,16.0
3,4,13,177,13.615384615384615
1,1,3,71,23.666666666666668
4,5,29,1352,46.62068965517241
2,5,13,190,14.615384615384615
3,7,14,177,12.642857142857142
2,2,3,6,2.0
1,1,1,1,1.0
1,4,12,908,75.66666666666667
2,4,79,1697,21.481012658227847
3,3,7,48,6.857142857142857
1,1,7,55,7.857142857142857
4,14,185,2662,14.389189189189189
3,3,3,18,6.0
2,2,8,454,56.75
5,13,182,3577,19.653846153846153
6,11,21,66,3.142857142857143
1,4,33,531,16.09090909090909
1,2,11,176,16.0
2,2,7,22,3.142857142857143
2,5,14,161,11.5
2,5,10,66,6.6
5,11,35,343,9.8
2,2,36,208,5.777777777777778
4,7,28,339,12.107142857142858
2,4,11,114,10.363636363636363
1,1,10,156,15.6
1,2,4,35,8.75
4,8,59,536,9.084745762711865
2,2,4,75,18.75
3,4,19,242,12.736842105263158
4,11,55,441,8.018181818181818
1,1,5,19,3.8
2,3,20,637,31.85
2,3,11,148,13.454545454545455
2,3,5,18,3.6
1,1,2,39,19.5
2,2,4,8,2.0
2,2,3,11,3.6666666666666665
3,3,4,58,14.5
4,15,322,4388,13.627329192546584
4,7,22,848,38.54545454545455
4,8,11,75,6.818181818181818
4,4,11,38,3.4545454545454546
5,5,10,105,10.5
4,9,37,482,13.027027027027026
2,5,100,2137,21.37
2,3,9,146,16.22222222222222
5,12,156,1577,10.10897435897436
5,13,64,340,5.3125
2,3,9,39,4.333333333333333
1,2,6,55,9.166666666666666
3,3,3,16,5.333333333333333
4,5,39,782,20.05128205128205
4,5,9,106,11.777777777777779
2,4,8,180,22.5
3,3,12,131,10.916666666666666
1,1,7,9,1.2857142857142858
2,5,11,238,21.636363636363637
4,5,19,440,23.157894736842106
3,8,437,4354,9.963386727688787
4,8,20,257,12.85
1,1,7,98,14.0
3,4,9,622,69.11111111111111
1,2,21,1415,67.38095238095238
6,12,33,316,9.575757575757576
1,1,8,58,7.25
2,2,14,158,11.285714285714286
3,4,20,85,4.25
1,1,16,1726,107.875
3,3,12,413,34.416666666666664
3,6,13,202,15.538461538461538
1,2,13,737,56.69230769230769
4,9,95,735,7.7368421052631575
1,1,11,107,9.727272727272727
3,6,12,52,4.333333333333333
2,4,13,93,7.153846153846154
5,13,34,576,16.941176470588236
2,3,15,280,18.666666666666668
4,6,9,104,11.555555555555555
4,9,72,473,6.569444444444445
3,7,74,923,12.472972972972974
1,1,1,1,1.0
1,1,64,1766,27.59375
5,7,7,95,13.571428571428571
3,5,12,123,10.25
2,3,3,151,50.333333333333336
2,3,4,37,9.25
3,8,45,809,17.977777777777778
2,4,9,244,27.11111111111111
3,5,11,156,14.181818181818182
6,26,305,6499,21.308196721311475
4,8,128,1748,13.65625
