root,combination,inventor,assignee,location
5590924,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5367693,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5367693,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5367693,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5373839,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5373839,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5373839,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5777296,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5777296,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5777296,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6223759,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6223759,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6223759,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
