,inventor,related,hops,sim
573,fl:m_ln:yamagishi-20,fl:p_ln:swan-6,3,0.4328963771019332
1,fl:a_ln:pance-2,fl:b_ln:bilbrey-2,1,0.35114243189957905
2,fl:a_ln:pance-2,fl:a_ln:pance-2,0,1.0
8,fl:a_ln:pance-2,fl:g_ln:cote-13,2,0.3859731848529008
11,fl:a_ln:pance-2,fl:b_ln:slack-1,1,0.9970829869642546
12,fl:a_ln:pance-2,fl:a_ln:crumlin-1,1,0.9977526453434098
13,fl:a_ln:pance-2,fl:a_ln:leiba-2,1,0.9978082870466544
14,fl:a_ln:pance-2,fl:d_ln:simon-2,2,0.9957628357938396
15,fl:a_ln:pance-2,fl:j_ln:medeiros-10,1,0.9986696090357533
16,fl:a_ln:pance-2,fl:j_ln:chen-946,2,0.9963468858475694
17,fl:a_ln:pance-2,fl:d_ln:falkenburg-2,1,0.9994821507261616
25,fl:a_ln:pance-2,fl:i_ln:chaudhri-2,2,0.46440564891622726
27,fl:a_ln:pance-2,fl:j_ln:robbin-6,2,0.43817573462584347
29,fl:a_ln:pance-2,fl:p_ln:kessler-8,2,0.7047388109456089
31,fl:a_ln:pance-2,fl:b_ln:ording-1,2,0.5394835353210744
37,fl:a_ln:pance-2,fl:a_ln:fadell-1,2,0.4281003279075155
38,fl:a_ln:pance-2,fl:j_ln:ive-2,2,0.4355550803241006
89,fl:a_ln:pance-2,fl:b_ln:andre-3,2,0.6938471180891645
90,fl:a_ln:pance-2,fl:r_ln:zorkendorfer-2,2,0.4480490876839406
123,fl:a_ln:pance-2,fl:z_ln:zhuang-43,3,0.4797486588621276
143,fl:a_ln:pance-2,fl:m_ln:van os-2,2,0.46056498374866583
165,fl:a_ln:pance-2,fl:h_ln:kimura-92,3,0.522063831042442
187,fl:a_ln:pance-2,fl:s_ln:forstall-1,2,0.4331275994404544
192,fl:a_ln:pance-2,fl:d_ln:tupman-3,2,0.47088184591731785
207,fl:a_ln:pance-2,fl:k_ln:vadas-1,3,0.4996296677446721
209,fl:a_ln:pance-2,fl:j_ln:roberts-102,3,0.4979441549657697
234,fl:a_ln:pance-2,fl:r_ln:katyl-1,3,0.46260078369702484
235,fl:a_ln:pance-2,fl:j_ln:krusius-1,3,0.46929741794544566
236,fl:a_ln:pance-2,fl:b_ln:yost-5,3,0.4688018323210976
237,fl:a_ln:pance-2,fl:r_ln:greene-57,3,0.4689303664576381
241,fl:a_ln:pance-2,fl:n_ln:furukawa-24,3,0.4636122605105699
246,fl:a_ln:pance-2,fl:c_ln:karunamuni-2,2,0.5725666052042485
