from,to
1082,69
3437,69
5062,3437
3437,2717
3437,1082
5062,2717
2717,1082
5062,1082
3003,1977
3318,1723
3999,3318
3318,3293
3318,1096
3318,1142
5235,3293
5235,3999
5235,1142
5235,1723
1723,1142
3999,1723
1723,1096
3377,1723
3293,1723
3999,1096
3293,1096
1142,1096
3293,1142
3999,1142
3377,1142
3999,3377
3377,3293
3999,3293
1977,1012
3265,1012
1155,1012
1012,620
3003,1012
3314,1012
3778,1012
5535,1012
2719,1012
3778,3003
3003,620
3265,3003
5535,3003
3003,1155
3003,2719
3314,3003
5535,3265
3314,3265
3265,620
3265,1155
3265,1977
3778,3265
3265,2719
3314,620
5535,3314
3778,3314
3314,1155
3314,2719
3314,1977
3778,620
5535,3778
3778,1155
3778,2719
3778,1977
2719,620
1977,620
1155,620
5535,620
5535,1977
1977,1155
2719,1977
5535,2719
2719,1155
5535,1155
5612,4320
4320,915
5103,3751
3751,423
5103,423
5064,4178
4178,3116
4178,106
4178,408
4350,1039
1951,1039
1039,323
5599,1039
1616,1039
1491,1039
5599,323
1616,323
1951,323
4350,323
1491,323
4350,1951
4350,1491
5599,4350
4350,1616
1951,1491
1616,1491
5599,1491
5599,1616
5599,1951
1951,1616
1082,1031
3437,1031
3140,1031
1031,69
5062,1031
2717,1031
4823,4381
4823,351
4381,351
5434,4561
5434,3878
5434,3512
4639,1105
1516,1105
4639,1516
5434,206
4561,206
3512,206
3878,206
3795,2165
4538,1539
4829,3212
3212,1745
4829,1745
3368,2013
2013,95
3368,95
5212,4174
4174,2723
5212,2723
3638,1957
5570,220
1892,1867
2885,1543
3391,476
4905,3391
4905,476
3779,1867
2075,54
2075,476
2075,1892
1892,54
476,54
1892,476
2701,157
5304,4664
4664,4214
5304,4214
2698,231
5304,1892
2885,1892
4491,1892
2930,1892
4491,2885
5304,4491
4491,2930
5304,2930
5304,2885
2930,2885
4842,1867
4706,3491
4010,2983
4303,1448
5070,2683
5070,169
5070,4597
2683,169
4597,2683
4597,169
4125,3926
3926,864
3926,1537
4779,3926
4125,1537
4125,3512
4779,4125
4125,864
1537,864
3512,1537
4779,1537
4779,3512
4779,864
3512,864
5166,4875
5166,135
5166,2442
4875,135
2442,135
4875,2442
4288,932
5166,932
4875,932
4875,4288
5166,4288
3013,2313
2313,1300
3013,1300
2641,312
3372,2641
2641,2243
2641,196
3372,196
2243,196
4056,2243
4056,3372
3372,2243
2243,312
2567,1949
3693,1815
4875,1815
3439,1815
4618,1815
4288,1815
5326,1815
4618,4288
4875,4618
4618,3693
5326,4618
4618,3439
4875,3439
5326,3439
3693,3439
4288,3439
5326,4875
5326,4288
5326,3693
4288,3693
4875,3693
4875,3782
5166,3782
5166,4983
5166,3693
5166,3439
3439,135
3693,135
4288,135
5374,3582
5604,5374
5374,3001
5374,3618
5604,3618
3618,3001
3618,3582
3582,3001
5604,3582
5604,3001
4514,420
1811,420
3260,420
4514,3260
3260,1811
4514,1811
683,207
4533,207
4533,683
4394,1642
4981,437
5078,3895
5277,3216
5277,3112
3216,3112
4287,3461
4945,3461
4945,4287
3694,1983
3372,2198
3216,2198
3372,3216
3533,2641
3533,3372
3533,312
3533,2243
2238,1989
5299,3817
3921,1530
2723,1530
3921,2723
2949,979
1257,979
2949,1257
3257,1776
3579,1970
3524,1970
3579,3524
3600,3257
2753,1198
2630,1198
4504,1198
4383,1198
4841,1198
2077,1198
4383,2630
4504,2630
4841,2630
4504,2077
4383,2077
4841,2077
4383,2753
4504,2753
4841,2753
4504,4383
4841,4504
4841,4383
5117,3694
3694,860
3694,2752
4326,3694
5117,4832
4832,4326
4832,860
4832,2752
4326,2752
4326,860
5117,4326
5624,4326
5624,860
5117,860
2752,860
5117,2752
5624,5117
5624,2752
4504,1771
4070,3257
4300,1405
2348,1405
3600,1405
4300,2348
3600,2348
4300,3600
4253,3600
3600,924
4841,3600
4253,924
4841,924
4841,4253
4896,3177
3813,3600
3813,2219
3813,1228
4841,3813
4424,3813
3813,3524
4841,4424
4841,1228
4841,2219
4841,3524
3524,1228
4424,3524
3600,3524
3524,2219
2219,1228
4424,2219
3600,2219
